1360
169,731,174;641
169,731,174;940
608,300;152
608,300;842
152,842;608
152,842;300
1225;1099
1099;1225
1113,1245;1243
1113,1245;975
1243,975;1113
1243,975;1245
997;744
744;997
963;1253
1253;963
286;237
1008,161,731,1036;691
1008,161,731,1036;974
1008,161,731,1036;1150
153,1150;731
153,1150;694
731,694;153
731,694;1150
265;400
400;265
1026;1253
1253;1026
1033,691;1008
1033,691;153
1008,153;1033
1008,153;691
486;828
486;29
1150,771,731;842
1150,771,731;1212
1150,771,731;446
1073,627;955
1073,627;731
1073,627;1015
6,1167;417
6,1167;731
6,1167;884
833,385;888
833,385;731
833,385;215
886;700
700;886
1112,1037;1296
1112,1037;795
1112,1037;687
771,261,1150;305
771,261,1150;842
771,261,1150;731
771,261,1150;446
886;1155
1155;886
1346,628,5;1115
1346,628,5;772
1346,628,5;415
1206;1259
1259;1206
856;997
997;856
137,771;446
137,771;791
446,791;137
446,791;771
161,131,1150;953
161,131,1150;291
161,131,1150;29
585,137;860
585,137;791
860,791;585
860,791;137
771,510;804
771,510;446
804,446;771
804,446;510
1316,510;804
1316,510;791
804,791;1316
804,791;510
585,510;860
585,510;804
860,804;585
860,804;510
1289,1235;27
1289,1235;612
1289,1235;1071
264;53
53;264
137,1290;1090
137,1290;791
1090,791;137
1090,791;1290
152,899,675;608
152,899,675;565
152,899,675;1055
608,565,1055;152
608,565,1055;899
608,565,1055;675
137,1316;791
791;137
791;1316
376,137;804
376,137;791
804,791;376
804,791;137
137,677;1193
137,677;791
1193,791;137
1193,791;677
1121;657
972,1110;944
972,1110;1078
944,1078;972
944,1078;1110
1049;952
952;1049
511;556
556;511
1130;1099
1099;1130
756,501;505
756,501;247
555,972;448
555,972;944
448,944;555
448,944;972
509;842
842;509
236;1231
947;1308
947;29
522,247;1268
522,247;1039
394,203;1305
394,203;487
394,203;1319
394,203;743
224,1027,1188;1249
224,1027,1188;1061
1249,1061;224
1249,1061;1027
1249,1061;1188
771,949;904
771,949;731
771,949;446
1140;1102
1102;1140
588;811
588;886
1056,944;972
1056,944;943
1171,1047;794
1171,1047;731
1171,1047;1090
1297;1344
1344;1297
201,675;218
201,675;607
848,1042;886
848,1042;23
899,60;1187
899,60;1188
899,60;565
1233,1114,1188,533;281
1233,1114,1188,533;883
1233,1114,1188,533;911
971,604,1150;731
971,604,1150;147
971,604,1150;886
81,1142,1150;731
81,1142,1150;1343
81,1142,1150;455
731,1343,263;81
731,1343,263;34
81,34;731
81,34;1343
81,34;263
172,911;800
172,911;1114
1008,731,974;691
1008,731,974;1036
452;919
919;452
1008,731,1036;691
1008,731,1036;1020
425;240
240;425
432,214;466
432,214;173
470,1150;1147
470,1150;404
470,1150;731
81,1246;731
81,1246;134
81,1246;1343
731,134,1343;81
731,134,1343;1246
1213;823
1246;1202
1146;221
691,997;504
691,997;1008
691,997;731
504,1008,731;691
504,1008,731;997
1120,369;128
1120,369;224
1120,369;1188
128,224,1188;1120
128,224,1188;369
1053;1280
1280;1053
731,1134;1188
731,1134;237
1188,237;731
1188,237;1134
404,1150;731
404,1150;76
404,1150;1077
630,1071;197
630,1071;703
197,703;630
197,703;1071
74,238;354
74,238;886
848,384;886
848,384;110
635,687;731
635,687;716
731,716;635
731,716;687
315,675;549
315,675;607
793;755
785,731,214;849
785,731,214;138
785,731,214;886
622;799
799;622
1008,161,731,196;691
1008,161,731,196;212
1008,161,731,196;1179
1008,161,731,196;893
1008,161,731,196;1150
1120,985;128
1120,985;1188
1120,985;285
128,1188,285;1120
128,1188,285;985
443;642
1067;1275
1275;1067
657;796
796;657
904,731,1150;770
904,731,1150;29
161,1220,1150;291
161,1220,1150;460
161,1220,1150;29
291,460,29;161
291,460,29;1220
291,460,29;1150
778,172;74
778,172;886
731,940;138
731,940;1053
354,731,1316;640
354,731,1316;922
1183,687;1313
1183,687;731
328,1188;731
328,1188;1132
731,1132;328
731,1132;1188
344,1120;128
344,1120;834
344,1120;1188
128,834,1188;344
128,834,1188;1120
165;228
228;165
1131;411
411;1131
842,924;817
842,924;554
817,554;842
817,554;924
197,414;509
197,414;1071
842,422;1257
842,422;789
1257,789;842
1257,789;422
842,949;817
842,949;789
817,789;842
817,789;949
474,675;808
474,675;607
848,533;709
848,533;886
434,1150;731
434,1150;780
434,1150;718
161,731,37,1343;81
161,731,37,1343;644
161,731,37,1343;1150
161,490,731,1343;81
161,490,731,1343;1150
161,490,731,1343;1327
80;524
524;80
161,731,644,1343;81
161,731,644,1343;1150
161,731,644,1343;1327
1282,771;1329
1282,771;731
1282,771;446
161,731,37,1343;81
161,731,37,1343;1150
161,731,37,1343;855
161,731,37,1343;81
161,731,37,1343;490
161,731,37,1343;1150
63;777
777;63
618;500
500;618
802,1311;769
802,1311;1013
161,1042,731,1343;81
161,1042,731,1343;1150
161,1042,731,1343;783
161,731,1343,855;81
161,731,1343,855;1150
161,731,1343,855;1327
1120,98,675,911,310;128
1120,98,675,911,310;1114
1120,98,675,911,310;1188
1120,98,675,911,310;477
1329,1150;1282
1329,1150;842
771,595,1150,15;904
771,595,1150,15;940
771,595,1150,15;81
771,595,1150,15;922
771,595,1150,15;731
771,1326;1329
771,1326;731
771,1326;446
376,223;688
376,223;33
961,10;837
961,10;126
837,126;961
837,126;10
990,663;88
990,663;1169
990,663;1071
990,663;31
1290,787,731;922
1290,787,731;738
194;1092
1092;194
296,1291;1216
296,1291;1356
296,1291;351
1077,1150;1131
1077,1150;172
1077,1150;731
842,364;817
842,364;959
817,959;842
817,959;364
179,302,1119;1288
179,302,1119;699
208,842;1257
208,842;959
1257,959;208
1257,959;842
130,842;817
130,842;113
817,113;130
817,113;842
310,1310;371
310,1310;1188
310,1310;1187
771,932,886;842
771,932,886;604
771,932,886;446
771,932,886;588
1113,1270;1091
1113,1270;1243
1091,1243;1113
1091,1243;1270
273;129
129;273
744,1235;402
744,1235;27
744,1235;1071
402,27,1071;744
402,27,1071;1235
560,310;178
560,310;1243
939,854;347
939,854;157
424,691;1008
424,691;682
424,691;731
1008,682,731;424
1008,682,731;691
232;467
706,1150;828
706,1150;29
706,1150;287
609,771,731;922
609,771,731;595
1267,631;763
1267,631;804
427;459
459;427
225;190
758;601
1024;1303
1303;1024
1235;81
46;1228
1228;46
97,771,886;904
97,771,886;922
97,771,886;1123
904,922,1123;97
904,922,1123;771
904,922,1123;886
1260;722
1260;183
1120,675,549,911,310;128
1120,675,549,911,310;1188
1120,675,549,911,310;1114
1120,675,549,911,310;477
1120,675,549,911,310;894
1120,675,911,1264,310;128
1120,675,911,1264,310;1188
1120,675,911,1264,310;295
1120,675,911,1264,310;1114
1120,675,911,1264,310;477
928,771,886;904
928,771,886;922
928,771,886;1247
904,922,1247;928
904,922,1247;771
904,922,1247;886
371,310;608
371,310;1188
296,351;1356
296,351;591
771,886,1207;904
